"Statistic Label","Age Group","Sex","Regional Authority Area","Year","UNIT","VALUE"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-East","2001","Thousand","16.6"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-East","2002","Thousand","17.5"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-East","2003","Thousand","18.2"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-East","2004","Thousand","18.8"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-East","2005","Thousand","19.8"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-East","2006","Thousand","20.6"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-East","2007","Thousand","21.4"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-East","2008","Thousand","22.8"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-East","2009","Thousand","23.3"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-East","2010","Thousand","23.7"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-East","2011","Thousand","24.4"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-East","2012","Thousand","24.5"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-East","2013","Thousand","24"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-East","2014","Thousand","23.5"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-East","2015","Thousand","22.8"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-East","2016","Thousand","22.1"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-East","2017","Thousand","21.7"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-West","1996","Thousand","7.4"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-West","1997","Thousand","11.7"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-West","1998","Thousand","12.2"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-West","1999","Thousand","12.3"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-West","2000","Thousand","12.5"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-West","2001","Thousand","12.8"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-West","2002","Thousand","12.1"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-West","2003","Thousand","12.4"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-West","2004","Thousand","12.5"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-West","2005","Thousand","12.6"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-West","2006","Thousand","12.8"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-West","2007","Thousand","13.1"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-West","2008","Thousand","13.6"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-West","2009","Thousand","14"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-West","2010","Thousand","14.4"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-West","2011","Thousand","14.7"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-West","2012","Thousand","14.6"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-West","2013","Thousand","14.3"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-West","2014","Thousand","13.8"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-West","2015","Thousand","13.4"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-West","2016","Thousand","13.2"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-West","2017","Thousand","12.4"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-East","1996","Thousand","11.1"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-East","1997","Thousand","13.7"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-East","1998","Thousand","13.8"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-East","1999","Thousand","14.2"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-East","2000","Thousand","14.6"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-East","2001","Thousand","15.3"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-East","2002","Thousand","15.9"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-East","2003","Thousand","16.3"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-East","2004","Thousand","16.6"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-East","2005","Thousand","16.8"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-East","2006","Thousand","17.2"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-East","2007","Thousand","17.6"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-East","2008","Thousand","18.8"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-East","2009","Thousand","19.4"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-East","2010","Thousand","19.4"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-East","2011","Thousand","19.8"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-East","2012","Thousand","19.9"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-East","2013","Thousand","19.4"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-East","2014","Thousand","18.7"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-East","2015","Thousand","18.3"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-East","2016","Thousand","18.1"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-East","2017","Thousand","17.7"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-West","1996","Thousand","13.9"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-West","1997","Thousand","18.9"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-West","1998","Thousand","18.9"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-West","1999","Thousand","19.4"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-West","2000","Thousand","19.6"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-West","2001","Thousand","20"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-West","2002","Thousand","20.2"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-West","2003","Thousand","20.7"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-West","2004","Thousand","21"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-West","2005","Thousand","21.4"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-West","2006","Thousand","21.7"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-West","2007","Thousand","22.6"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-West","2008","Thousand","22.9"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-West","2009","Thousand","23.7"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-West","2010","Thousand","24.7"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-West","2011","Thousand","25.5"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-West","2012","Thousand","25.6"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-West","2013","Thousand","25.6"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-West","2014","Thousand","25.2"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-West","2015","Thousand","23.8"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-West","2016","Thousand","23.7"
"Estimated Population (Persons in April)","0 - 4 years","Male","South-West","2017","Thousand","23.2"
"Estimated Population (Persons in April)","0 - 4 years","Female","State","1996","Thousand","121.7"
"Estimated Population (Persons in April)","0 - 4 years","Female","State","1997","Thousand","121.3"
"Estimated Population (Persons in April)","0 - 4 years","Female","State","1998","Thousand","122.9"
"Estimated Population (Persons in April)","0 - 4 years","Female","State","1999","Thousand","125.8"
"Estimated Population (Persons in April)","0 - 4 years","Female","State","2000","Thousand","128.9"
"Estimated Population (Persons in April)","0 - 4 years","Female","State","2001","Thousand","132.8"
"Estimated Population (Persons in April)","0 - 4 years","Female","State","2002","Thousand","135.6"
"Estimated Population (Persons in April)","0 - 4 years","Female","State","2003","Thousand","138.9"
"Estimated Population (Persons in April)","0 - 4 years","Female","State","2004","Thousand","142"
"Estimated Population (Persons in April)","0 - 4 years","Female","State","2005","Thousand","144.8"
"Estimated Population (Persons in April)","0 - 4 years","Female","State","2006","Thousand","147.7"
"Estimated Population (Persons in April)","0 - 4 years","Female","State","2007","Thousand","151.1"
"Estimated Population (Persons in April)","0 - 4 years","Female","State","2008","Thousand","158.1"
"Estimated Population (Persons in April)","0 - 4 years","Female","State","2009","Thousand","163.8"
"Estimated Population (Persons in April)","0 - 4 years","Female","State","2010","Thousand","169.4"
"Estimated Population (Persons in April)","0 - 4 years","Female","State","2011","Thousand","174.1"
"Estimated Population (Persons in April)","0 - 4 years","Female","State","2012","Thousand","178.6"
"Estimated Population (Persons in April)","0 - 4 years","Female","State","2013","Thousand","173.1"
"Estimated Population (Persons in April)","0 - 4 years","Female","State","2014","Thousand","169.3"
"Estimated Population (Persons in April)","0 - 4 years","Female","State","2015","Thousand","165.6"
"Estimated Population (Persons in April)","0 - 4 years","Female","State","2016","Thousand","161.7"
"Estimated Population (Persons in April)","0 - 4 years","Female","State","2017","Thousand","158.5"
"Estimated Population (Persons in April)","0 - 4 years","Female","Border","1996","Thousand","11.3"
"Estimated Population (Persons in April)","0 - 4 years","Female","Border","1997","Thousand","13.1"
"Estimated Population (Persons in April)","0 - 4 years","Female","Border","1998","Thousand","12.9"
"Estimated Population (Persons in April)","0 - 4 years","Female","Border","1999","Thousand","13.3"
"Estimated Population (Persons in April)","0 - 4 years","Female","Border","2000","Thousand","13.9"
"Estimated Population (Persons in April)","0 - 4 years","Female","Border","2001","Thousand","14.2"
"Estimated Population (Persons in April)","0 - 4 years","Female","Border","2002","Thousand","15.7"
"Estimated Population (Persons in April)","0 - 4 years","Female","Border","2003","Thousand","15.9"
"Estimated Population (Persons in April)","0 - 4 years","Female","Border","2004","Thousand","16"
"Estimated Population (Persons in April)","0 - 4 years","Female","Border","2005","Thousand","16.2"
"Estimated Population (Persons in April)","0 - 4 years","Female","Border","2006","Thousand","16.6"
"Estimated Population (Persons in April)","0 - 4 years","Female","Border","2007","Thousand","17.1"
"Estimated Population (Persons in April)","0 - 4 years","Female","Border","2008","Thousand","17.9"
"Estimated Population (Persons in April)","0 - 4 years","Female","Border","2009","Thousand","18.5"
"Estimated Population (Persons in April)","0 - 4 years","Female","Border","2010","Thousand","19.4"
"Estimated Population (Persons in April)","0 - 4 years","Female","Border","2011","Thousand","20"
"Estimated Population (Persons in April)","0 - 4 years","Female","Border","2012","Thousand","20"
"Estimated Population (Persons in April)","0 - 4 years","Female","Border","2013","Thousand","19.8"
"Estimated Population (Persons in April)","0 - 4 years","Female","Border","2014","Thousand","19.3"
"Estimated Population (Persons in April)","0 - 4 years","Female","Border","2015","Thousand","18.8"
"Estimated Population (Persons in April)","0 - 4 years","Female","Border","2016","Thousand","18"
"Estimated Population (Persons in April)","0 - 4 years","Female","Border","2017","Thousand","17.6"
"Estimated Population (Persons in April)","0 - 4 years","Female","Midland","1996","Thousand","12.6"
"Estimated Population (Persons in April)","0 - 4 years","Female","Midland","1997","Thousand","7.2"
